Month,New Reports,Processed Reports,Backlog,Capacity,Actual Processed
3,39,19,20,207.40273947944615,206.46978377059477
4,33,29,24,207.40273947944615,206.4554854278655
5,35,8,51,207.40273947944615,196.79511780154252
6,46,19,78,207.40273947944615,167.22159025135727
7,43,10,111,207.40273947944615,195.6429543245431
8,48,16,143,207.40273947944615,205.48774676308517
9,41,20,164,207.40273947944615,202.84948579099566
10,43,24,183,207.40273947944615,200.17028078487297
11,47,20,210,207.40273947944615,200.02881814683857
12,56,17,249,207.40273947944615,204.9828434207788
13,47,19,277,207.40273947944615,201.72395845019042
14,34,18,293,207.40273947944615,175.30925305500122

Total Reports,512
Total Processed,219
Final Backlog,293

Processed Report Details
Month,Source,Risk Type,Supervision Cost,Accessibility,Potential Damage,Priority
3,crowdsourcing,security,13.68401864871304,0.8162413612490143,368.72095529210316,5.7103120917932415
3,community,privacy,4.533234557965522,0.7609935593625243,285.46908571344966,5.385595996103968
3,expert,ethical,21.68780477302181,0.20693320598534554,938.0216870499755,5.273552405638887
3,crowdsourcing,privacy,10.005110476662658,0.6542606966445578,291.44362149034373,5.255827872256255
3,crowdsourcing,robustness,4.23726598576656,0.49666872901364034,335.13724264246497,5.1206978678222965
3,expert,security,49.36410667071051,0.4219353192950778,314.17775922836955,4.8945709792584555
3,expert,long-term societal impact,11.306078075535666,0.8657915574679866,138.90008851334423,4.797924828100503
3,crowdsourcing,privacy,11.425046810556246,0.6564936985495401,157.4837853878158,4.6481062265534545
3,crowdsourcing,bias,6.4015372434005515,0.6836363213117413,136.70922125143323,4.548169997219901
3,expert,ethical,23.9122930080291,0.12419625785121088,583.9234866272551,4.2975726018522264
3,community,user experience,6.471968647818223,0.817201164052305,81.7812985423567,4.217030704154034
3,community,user experience,6.873262361878922,0.8049490489775275,80.94914125153008,4.1920750571533745
3,community,misinformation,5.282973696431331,0.6400367635218467,88.03815855724137,4.049132006985691
3,community,bias,7.214173486429595,0.6958602415316163,62.18452493741182,3.790346517318697
3,community,privacy,4.886226427395724,0.3699555660203499,111.28256421942334,3.7416996779584606
3,community,privacy,4.615034373522595,0.6510083975714857,61.60466959503535,3.716133593824485
3,community,misinformation,2.0635900375864216,0.7917799032057163,47.10585881092557,3.6453838973961115
3,community,user experience,8.401866022505688,0.4208119493401085,84.42725549179355,3.5980790339655213
3,community,content moderation,4.104192466664645,0.7936018059493816,29.202206999275937,3.1853159063740737
4,expert,AI alignment,29.33135769635754,0.4008430301274714,1351.9051087205175,6.296928346329626
4,expert,security,28.859292495265432,0.18640857688195914,921.7846117097852,5.15230010695439
4,community,misinformation,3.3796584660638413,0.7768499245472085,149.25747532489277,4.76175212314901
4,community,bias,5.327734557664181,0.8950990475009842,124.13491420932918,4.719507678977355
4,crowdsourcing,security,6.6177205158514205,0.8082665203554723,130.72952178899183,4.669686478917274
4,community,misinformation,1.4628117562755287,0.8157234501899421,100.31052179055737,4.4167377347580805
4,community,user experience,2.626924689165069,0.7214408003552136,83.12048300356713,4.110324660667448
4,crowdsourcing,security,8.057196883904197,0.5994488359347473,97.98034204772388,4.089904753926523
4,crowdsourcing,misinformation,2.8985101718281205,0.4593213519572007,127.68799317902473,4.088491158693546
4,community,user experience,4.621430841097802,0.8658746040513543,61.45714808226026,3.992942567233064
4,crowdsourcing,security,12.168587960521634,0.4407140182852683,105.33011254007643,3.8590537209108384
4,community,privacy,1.779275428803485,0.4595922952945472,98.84162276249401,3.8378779185314245
4,community,misinformation,1.4745162395754687,0.9125405249980009,49.197238327358846,3.8263447109443307
4,community,user experience,4.195619214699486,0.7579407653194016,57.811483867087034,3.8026027117114776
4,expert,robustness,17.52272605804223,0.32887634099336643,119.38144016002394,3.69540142033897
4,community,user experience,8.175461924408854,0.7913652247323791,41.43940090303284,3.5202744185052834
4,community,misinformation,4.789933790864623,0.8043260319286877,39.20808906746929,3.482349833315663
4,community,bias,2.1310414617373743,0.5258501956733833,53.624882378616334,3.3741226428624267
4,community,content moderation,3.104274965647326,0.954024317488134,24.955353972126204,3.211166767936822
4,crowdsourcing,robustness,12.01318862026786,0.2891346032506972,77.33881016594046,3.151081928318173
3,community,privacy,4.535421339422819,0.6788196273063668,32.93562188636157,3.1509115630667344
3,community,content moderation,3.3232125044212246,0.9625052713382917,22.966640564048756,3.1400712300890543
3,community,bias,2.7000850336252222,0.6580592622527921,28.72133550691467,2.9907368599553754
4,community,privacy,9.625722021779799,0.7015230909643745,25.861748856891897,2.951916949104619
3,community,user experience,2.642338983864735,0.5097188567077615,33.012546468614644,2.8807207498761165
3,community,content moderation,8.622885868779461,0.8012542567055649,20.788020127458683,2.8711033994040633
3,community,privacy,2.1437959985080868,0.6461597957648507,24.713178348208654,2.8313682472750306
4,community,bias,3.975828561419432,0.758751075798147,17.999965757730486,2.6849516984154227
3,crowdsourcing,privacy,8.34893137800322,0.2725994703938879,49.68999568183339,2.6772793647736552
5,expert,AI alignment,33.65566633890482,0.1900212154359115,8010.113052737548,7.328497376084048
5,community,content moderation,3.485675015192474,0.7094617563582397,1218.0825001984929,6.762940987435421
5,expert,robustness,55.920806361790675,0.3261726733178651,1358.401199513512,6.095989753029662
5,expert,AI alignment,26.594626770526737,0.40296215245335154,894.4896649059937,5.890111216166581
5,expert,robustness,63.58934226305569,0.5182511396379113,324.3579849606805,5.130483723396676
5,crowdsourcing,security,7.396424997033748,0.4246145648102834,195.91959078792027,4.433079852635524
5,community,bias,1.9358053682323366,0.9178736162184945,85.45244636148614,4.3749333612437
5,community,misinformation,4.21677068680603,0.6074020119307773,104.13733807660246,4.162831974105661
6,crowdsourcing,bias,11.378097040798803,0.853436379243555,660.2612489034815,6.335924386329812
6,expert,AI alignment,32.15838700447713,0.38386942117752776,752.3653945298818,5.669225772251272
6,expert,AI alignment,20.5557697867915,0.1674487730889229,1084.8673137222468,5.2076248624089425
6,crowdsourcing,security,6.306345846940062,0.8585896549576538,131.19603580451377,4.73306687568958
6,crowdsourcing,security,9.849485125210782,0.5738831919010186,185.71612361611264,4.678228824575212
6,crowdsourcing,misinformation,3.6055837382659233,0.6169594416514775,161.1275668135323,4.609253574158626
6,community,bias,4.21047219988096,0.6975153608209855,130.79658565166062,4.5243139468664175
6,crowdsourcing,privacy,5.546986454683385,0.5434092157807942,135.64226561034704,4.313604009253886
6,crowdsourcing,bias,8.193703200855271,0.6155906411655045,109.87888351120154,4.228881462609365
6,community,privacy,5.494681367291816,0.49275483595468084,117.93494104294263,4.079451078297222
6,community,privacy,4.420764119296726,0.5677677998979418,90.22042563302747,3.9555469955646263
6,community,content moderation,5.796596305086466,0.5062327317133122,100.24004812510836,3.9463238162519363
6,expert,long-term societal impact,6.464192160047254,0.3250197013090573,146.65319790178043,3.884963755409477
5,expert,ethical,25.05304038653892,0.385202049322549,120.43612062884002,3.858458512318946
6,community,user experience,6.001067952481104,0.9521939839433143,42.83492156827988,3.7325889865609945
5,community,privacy,3.1058451841689463,0.8982652706908953,40.96704412945813,3.6322898692224217
5,crowdsourcing,robustness,1.894788633732911,0.3402406942954862,106.43573589839251,3.616678818603745
5,community,user experience,4.896195069707038,0.687240845119649,52.2073088409688,3.6076421491113217
6,crowdsourcing,security,2.2895886751023324,0.7473438226707502,47.71578398582981,3.6016888721326463
7,crowdsourcing,security,4.633377709191405,0.30835395624336825,2176.80813392291,6.5105966762541865
7,expert,robustness,48.75786851874996,0.36695891980644285,1159.8005485547924,6.055844828746468
7,expert,security,16.7114895600021,0.3449627701488813,766.9967005758491,5.581936094256071
7,expert,ethical,68.83969206761132,0.3005174250044571,874.8067712161178,5.575550077570179
7,community,misinformation,4.804332558111912,0.8553587737110985,230.8210549789803,5.290460655936025
7,crowdsourcing,bias,10.896423701226023,0.5768979047140762,294.6813657896432,5.141669769830301
7,crowdsourcing,ethical,9.99145522238973,0.5843558331744821,279.2409148425323,5.10093937304434
7,crowdsourcing,ethical,12.992270555624891,0.6385398747161826,216.0508101642062,4.93416494478419
7,community,user experience,11.622094129095455,0.8784270299803011,139.9011859272476,4.819418154624594
7,community,privacy,6.3939503025403015,0.8453880497034107,135.3733146229069,4.748776749465789
8,community,privacy,3.2901655450016527,0.9829014652331608,484.6168464414523,6.1682093502691
8,crowdsourcing,misinformation,10.323188001495987,0.3329633822441563,1092.2002335109353,5.898972772419598
8,crowdsourcing,robustness,4.650168553531328,0.4592634541421216,625.8006713529827,5.664373987365229
8,community,privacy,7.463296639594071,0.8722337294981225,203.8086060298713,5.18609301826736
8,expert,long-term societal impact,19.986331960556903,0.35517573830666044,400.56508984065266,4.964737952346595
8,expert,ethical,59.30876685960773,0.44778689679583156,245.74874082773857,4.709918108469652
8,crowdsourcing,misinformation,6.91805174171414,0.5491323006887735,181.68144518548144,4.612812409538132
7,expert,ethical,22.383124143398586,0.0869080619044962,1060.55824114699,4.534437172134029
8,community,privacy,6.539708005437237,0.7573921423790474,116.28377180246731,4.489449691136904
7,expert,AI alignment,15.733517276996372,0.16860600804889103,520.1013314156795,4.485172053112061
